id,name,category,copies,on_loan,reservation_queue
it_0142,"Bosch PBH 2100 RE Rotary Hammer Drill with SDS-plus chuck, 3 bits and carry case",tools,2,2,4
it_0088,"Kärcher K4 Full Control pressure washer (with patio cleaner attachment)",tools,1,1,6
it_0311,"Vango Odyssey Air 500 inflatable 5-person tent (pump included, 2 pegs missing)",camping,1,0,0
it_0207,"KitchenAid Artisan stand mixer, 4.8 L, with dough hook and whisk",kitchen,1,1,2
it_0019,"The Hobbit",books,3,1,0
it_0455,"Sewing machine — Janome 2200XT with foot pedal and manual",craft,1,1,1
it_0261,"Bosch GlassVAC cordless window cleaner",tools,1,0,0
it_0398,"Coleman two-burner camping stove (needs 2× gas cartridges, not supplied)",camping,2,1,0
it_0501,"Carpet cleaner — Vax Rapid Power Plus",tools,1,1,3
it_0127,"Long-reach hedge trimmer, Ryobi 18V ONE+ (battery and charger in box)",tools,1,1,2
it_0433,"Raclette grill for 8 with 8 pans",kitchen,1,0,0
it_0077,"Ladder — 3-section aluminium extension ladder, 6.2 m",tools,2,1,1
